,a_x_mean,a_y_mean,a_z_mean,a_x_median,a_y_median,a_z_median,a_x_max,a_y_max,a_z_max,a_x_min,a_y_min,a_z_min,a_x_diff,a_y_diff,a_z_diff,g_x_mean,g_y_mean,g_z_mean,g_x_median,g_y_median,g_z_median,g_x_max,g_y_max,g_z_max,g_x_min,g_y_min,g_z_min,g_x_diff,g_y_diff,g_z_diff,o_x_mean,o_y_mean,o_z_mean,o_x_median,o_y_median,o_z_median,o_x_max,o_y_max,o_z_max,o_x_min,o_y_min,o_z_min,o_x_diff,o_y_diff,o_z_diff,fallen
0,-4.237599999999999,-2.1999999999999997,6.135200000000002,-1.5,-2.2,8.8,39.2,9.2,23.7,-27.6,-39.2,-21.1,66.80000000000001,48.400000000000006,44.8,-0.22159999999999996,-0.09119999999999998,0.08000000000000002,0.0,0.0,-0.0,3.3,5.5,3.3,-6.9,-11.7,-5.2,10.2,17.2,8.5,-0.20000000000000073,0.2064000000000001,0.2520000000000001,-0.1,-0.0,0.3,0.1,0.8,0.5,-0.5,-0.0,-0.3,0.6,0.8,0.8,1
1,-4.9474576271186415,-1.8906779661016944,5.050847457627119,-6.050000000000001,-3.5,5.1,13.0,32.2,11.6,-23.2,-15.1,-23.0,36.2,47.300000000000004,34.6,-0.11271186440677973,-0.11779661016949151,0.23644067796610171,0.0,0.0,-0.0,3.8,3.2,5.4,-5.2,-7.7,-5.3,9.0,10.9,10.7,-0.10423728813559295,0.34152542372881406,-0.19661016949152527,-0.2,0.4,-0.1,0.3,0.6,-0.0,-0.4,-0.1,-0.9,0.7,0.7,0.9,1
2,-4.04791666666667,-3.11875,5.947916666666668,-0.95,-3.5,8.8,8.5,5.0,39.0,-38.6,-13.6,-4.9,47.1,18.6,43.9,-0.21249999999999994,-0.08333333333333331,0.07395833333333338,0.0,-0.0,-0.0,5.2,5.2,4.5,-6.4,-10.4,-4.6,11.600000000000001,15.600000000000001,9.1,0.1697916666666666,0.2666666666666664,-0.853125,0.0,0.2,-1.0,0.6,0.6,-0.4,-0.1,-0.1,-1.0,0.7,0.7,0.6,1
3,-3.587878787878789,-1.1466666666666652,4.801212121212119,-1.8,-1.9,6.9,37.6,33.9,13.9,-38.9,-17.2,-31.9,76.5,51.099999999999994,45.8,-0.03151515151515156,-0.007878787878787883,0.008484848484848465,-0.0,0.0,0.0,6.7,13.3,3.3,-4.9,-6.3,-4.2,11.600000000000001,19.6,7.5,0.0644171779141105,0.20122699386503123,-0.7067484662576705,0.1,0.3,-0.7,0.6,0.6,-0.2,-0.3,-0.5,-1.0,0.8999999999999999,1.1,0.8,1
4,-8.53984375000001,-2.6703124999999974,3.5453124999999983,-8.7,-1.9,4.4,5.4,4.1,34.9,-28.5,-39.2,-39.1,33.9,43.300000000000004,74.0,-0.09140625000000008,-0.032031250000000004,0.08515625,0.0,-0.0,0.0,3.1,4.2,3.5,-4.9,-4.3,-3.0,8.0,8.5,6.5,0.4742187499999998,0.19765625000000064,-0.7867187499999995,0.5,0.1,-0.8,0.7,0.4,-0.6,0.1,-0.1,-0.9,0.6,0.5,0.30000000000000004,1
5,-4.738636363636369,-2.048484848484847,6.781060606060611,-1.3,-2.6,8.55,7.4,6.8,39.2,-38.9,-37.8,-31.2,46.3,44.599999999999994,70.4,-0.024031007751938012,-0.03798449612403101,0.05193798449612402,0.0,0.0,0.0,3.4,9.3,2.9,-4.7,-5.4,-4.9,8.1,14.700000000000001,7.800000000000001,-0.1227272727272727,-0.24772727272727263,0.7825757575757583,0.0,-0.2,0.9,0.1,0.2,1.0,-0.5,-0.6,0.3,0.6,0.8,0.7,1
6,-3.4837606837606856,1.101709401709402,6.8880341880341875,-1.3,2.2,8.5,9.5,17.7,20.9,-30.1,-12.0,-12.3,39.6,29.7,33.2,-0.12393162393162385,-0.08717948717948716,0.035897435897435964,0.0,-0.0,0.0,2.9,1.8,4.4,-4.6,-2.9,-3.2,7.5,4.7,7.6000000000000005,0.1675213675213677,0.17777777777777803,-0.4504273504273498,0.2,0.1,-0.5,0.4,0.6,0.1,-0.0,-0.2,-1.0,0.4,0.8,1.1,1
7,-3.7901960784313777,-2.2457516339869272,5.754248366013078,-1.6,-4.1,8.6,36.3,38.9,39.2,-26.4,-11.6,-19.6,62.699999999999996,50.5,58.800000000000004,-0.08954248366013069,-0.09281045751633989,0.05555555555555558,0.0,0.0,0.0,2.9,1.2,4.3,-7.2,-7.4,-3.3,10.1,8.6,7.6,0.2960784313725494,-0.04575163398692822,-0.468627450980392,0.2,-0.0,-0.6,0.7,0.1,0.3,-0.3,-0.3,-0.6,1.0,0.4,0.8999999999999999,1
8,-2.904255319148935,-2.620567375886522,6.317021276595748,-0.8,-3.4,8.5,11.0,7.5,11.1,-15.1,-8.2,-33.3,26.1,15.7,44.4,-0.04822695035460988,-0.006382978723404241,0.004964539007092203,-0.0,-0.0,0.0,2.5,2.0,2.1,-4.0,-4.8,-4.7,6.5,6.8,6.800000000000001,-0.19787234042553203,0.1865248226950358,-0.035460992907801414,-0.3,0.1,-0.1,0.1,0.7,0.2,-0.4,-0.1,-0.3,0.5,0.7999999999999999,0.5,1
9,-5.870247933884298,-0.0016528925619830963,6.194214876033059,-3.4,0.7,8.8,5.4,15.0,36.4,-38.9,-25.8,-27.4,44.3,40.8,63.8,-0.0570247933884298,0.0033057851239669486,-0.04380165289256196,0.0,-0.0,-0.0,12.2,3.5,5.6,-5.4,-3.6,-6.3,17.6,7.1,11.899999999999999,0.3157024793388436,-0.012396694214876033,-0.7347107438016521,0.2,-0.0,-0.7,0.7,0.2,-0.3,-0.1,-0.2,-1.0,0.7999999999999999,0.4,0.7,1
